PPG,HI,HR,HR_A,PI,PI_A
1937,468,0,0,0,0
1952,468,0,0,0,6.42
1968,468,0,0,0,6.42
1985,468,0,0,0,6.42
2002,468,0,0,0,6.42
2021,468,0,0,0,6.42
2040,468,0,0,0,6.42
2058,468,0,0,0,6.42
2076,468,0,0,0,6.42
2095,468,0,0,0,6.42
2112,468,0,0,0,6.42
2129,468,0,0,0,6.42
2145,468,0,0,0,6.42
2159,468,0,0,0,6.42
2173,468,0,0,0,6.42
2185,468,0,0,0,6.42
2195,468,0,0,0,6.42
2204,468,0,0,0,6.42
2212,468,0,0,0,6.42
2218,468,0,0,0,6.42
2222,468,0,0,0,6.42
2225,468,0,0,0,6.42
2227,468,0,0,0,6.42
2228,468,0,0,0,6.42
2228,468,0,0,0,6.42
2226,468,0,0,0,6.42
2224,468,0,0,0,6.42
2221,468,0,0,0,6.42
2218,468,126,0,0,6.42
2214,468,126,0,0,6.42
2209,468,126,0,19.04,6.42
2205,468,126,88,19.04,6.42
2200,468,126,88,19.04,6.42
2194,468,126,88,19.04,6.42
2189,468,126,88,19.04,6.42
2184,468,126,88,19.04,6.42
2179,468,126,88,19.04,6.42
2174,468,126,88,19.04,6.42
2170,468,126,88,19.04,6.42
2164,468,126,88,19.04,6.42
2161,468,126,88,19.04,6.42
2157,468,126,88,19.04,6.42
2154,468,126,88,19.04,6.42
2150,468,126,88,19.04,6.42
2147,468,126,88,19.04,6.42
2144,468,126,88,19.04,6.42
2141,468,126,88,19.04,6.42
2138,468,126,88,19.04,6.42
2135,468,126,88,19.04,6.42
2131,468,126,88,19.04,6.42
2128,468,126,88,19.04,6.42
2124,468,126,88,19.04,6.42
2119,468,126,88,19.04,6.42
2115,468,126,88,19.04,6.42
2110,468,126,88,19.04,6.42
2105,468,126,88,19.04,6.42
2099,468,126,88,19.04,6.42
2093,468,126,88,19.04,6.42
2087,468,126,88,19.04,6.42
2080,468,126,88,19.04,6.42
2073,468,126,88,19.04,6.42
2067,468,126,88,19.04,6.42
2061,468,126,88,19.04,6.42
2054,468,126,88,19.04,6.42
2049,468,126,88,19.04,6.42
2044,468,126,88,19.04,6.42
2038,468,126,88,19.04,6.42
2034,468,126,88,19.04,6.42
2030,468,126,88,19.04,6.42
2026,468,126,88,19.04,6.42
2023,468,126,88,19.04,6.42
2020,468,126,88,19.04,6.42
2018,468,126,88,19.04,6.42
2017,468,126,88,19.04,6.42
2015,468,126,88,19.04,6.42
2015,468,126,88,19.04,6.42
2014,468,126,88,19.04,6.42
2014,468,126,88,19.04,6.42
2015,468,126,88,19.04,6.42
2015,468,126,88,19.04,6.42
2015,468,126,88,19.04,6.42
2016,468,126,88,19.04,6.42
2016,468,126,88,19.04,6.42
2016,468,126,88,19.04,6.42
2017,468,126,88,19.04,6.42
2018,468,126,88,19.04,6.42
2018,468,126,88,19.04,6.42
2017,468,126,88,19.04,6.42
